fake,fake2,proj_id,title,budget,started_on,ends_on,summary,superv_id,ass_prog_id,ass_exec_id,ass_org_id
Study on,Computer Science,1,Study on Computer Science,609256.0,8/27/2020,12/19/2021,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.

Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.",336,90,16,4
Experiment on,Mechanical Engineering,2,Experiment on Mechanical Engineering,127366.6,3/8/2022,5/21/2023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",440,188,99,56
Enquiry on,Quantum Mechanics,3,Enquiry on Quantum Mechanics,725997.94,3/28/2022,8/17/2023,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",595,245,91,11
Enquiry on,Quantum Mechanics,4,Enquiry on Quantum Mechanics,168170.72,6/21/2021,10/27/2024,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,182,247,34,54
Enquiry on,Physics,5,Enquiry on Physics,610826.89,7/28/2021,10/22/2023,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",499,48,97,14
Experiment on,Chamistry,6,Experiment on Chamistry,349394.87,1/16/2021,9/8/2023,"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.

Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",850,19,53,30
Enquiry on,Chamistry,7,Enquiry on Chamistry,199436.76,7/2/2021,12/25/2022,Sed ante. Vivamus tortor. Duis mattis egestas metus.,194,52,79,6
Experiment on,Quantum Mechanics,8,Experiment on Quantum Mechanics,680415.9,10/26/2020,7/15/2023,"Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.

Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.",491,43,25,29
Study on,Computer Science,9,Study on Computer Science,608167.47,1/6/2021,11/24/2024,"Fusce consequat. Nulla nisl. Nunc nisl.

Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",35,47,32,48
Experiment on,Mechanical Engineering,10,Experiment on Mechanical Engineering,269751.0,4/2/2022,2/24/2025,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",646,85,100,42
Experiment on,Quantum Mechanics,11,Experiment on Quantum Mechanics,529145.68,4/1/2022,4/11/2025,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,833,45,72,24
Experiment on,Quantum Mechanics,12,Experiment on Quantum Mechanics,992516.51,6/9/2020,7/21/2022,Fusce consequat. Nulla nisl. Nunc nisl.,780,92,40,23
Enquiry on,Physics,13,Enquiry on Physics,807203.95,6/27/2019,5/18/2022,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.

Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.",289,209,38,18
Experiment on,Electrical Engineering,14,Experiment on Electrical Engineering,740215.0,9/7/2020,2/28/2023,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.

Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",604,50,15,84
Experiment on,Electrical Engineering,15,Experiment on Electrical Engineering,506903.93,4/27/2021,3/16/2024,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,72,217,44,59
Enquiry on,Quantum Mechanics,16,Enquiry on Quantum Mechanics,102666.27,2/23/2020,3/23/2023,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",603,41,20,37
Experiment on,Physics,17,Experiment on Physics,279527.85,9/30/2021,7/6/2023,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.

Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",121,66,70,25
Enquiry on,Physics,18,Enquiry on Physics,233285.0,8/23/2020,1/9/2022,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",918,172,59,31
Research on the field of,Chamistry,19,Research on the field of Chamistry,962262.8,4/1/2021,2/12/2025,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,562,18,86,69
Research on the field of,Chamistry,20,Research on the field of Chamistry,403609.08,10/11/2020,5/23/2024,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,423,233,71,5
Experiment on,Mechanical Engineering,21,Experiment on Mechanical Engineering,120574.77,3/9/2020,8/5/2023,"Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.

Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",506,277,23,49
Enquiry on,Quantum Mechanics,22,Enquiry on Quantum Mechanics,732350.32,1/17/2022,5/31/2025,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.

Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.

Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.",615,20,90,86
Research on the field of,Mechanical Engineering,23,Research on the field of Mechanical Engineering,987860.72,11/17/2019,6/22/2022,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",778,266,45,46
Enquiry on,Electrical Engineering,24,Enquiry on Electrical Engineering,138519.45,11/27/2018,2/29/2020,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",556,236,57,83
Experiment on,Physics,25,Experiment on Physics,731595.0,7/1/2019,12/18/2021,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.

Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.",65,193,19,78
Experiment on,Quantum Mechanics,26,Experiment on Quantum Mechanics,415622.98,2/16/2021,7/18/2023,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",421,222,13,77
Research on the field of,Computer Science,27,Research on the field of Computer Science,816048.57,3/7/2019,5/29/2022,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.

Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",632,189,60,90
Experiment on,Computer Science,28,Experiment on Computer Science,621347.37,9/12/2021,10/29/2024,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,378,37,87,51
Research on the field of,Electrical Engineering,29,Research on the field of Electrical Engineering,158741.25,10/14/2019,7/26/2022,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.

In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",516,250,30,26
